1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0.117665
52	1.69776
53	15.4915
54	66.1059
55	148.139
56	204.873
57	202.893
58	195.563
59	184.549
60	173.428
61	161.665
62	148.546
63	143.548
64	140.811
65	136.023
66	127.774
67	109.185
68	101.37
69	95.2335
70	95.7832
71	91.3115
72	80.2706
73	71.0868
74	70.0523
75	69.2266
76	67.869
77	63.1547
78	61.8646
79	58.9859
80	62.8405
81	62.6
82	62.3486
83	60.6481
84	52.8657
85	44.9211
86	42.9934
87	35.6754
88	21.3027
89	6.72509
90	1.00607
91	0.0771106
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
